,Neighborhood,Latitude,Longitude,Avg 2BHK Rent,Hospitals,Schools,Emergency Services,Leisure,Shopping Facilities,Spiritual Centers,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
115,Matunga,19.0274356,72.8501467,94875.0,8,75,9,24,100,87,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Café,Snack Place,Shopping Mall,Ice Cream Shop,Vegetarian / Vegan Restaurant,Train Station,Department Store
116,Thakur Village Road,19.2097189,72.8759248,31300.0,9,39,2,24,100,28,Pizza Place,Indian Restaurant,Café,Fast Food Restaurant,Ice Cream Shop,Gym,Stadium,Department Store,Sports Bar,French Restaurant
117,Versova,19.13025205,72.8213774957082,64300.0,30,34,3,36,100,42,Café,Pub,Indian Restaurant,Bar,Lounge,Ice Cream Shop,Pizza Place,Chinese Restaurant,Seafood Restaurant,Vegetarian / Vegan Restaurant
118,Andheri   Dahisar,19.1871655,72.8584439,33800.0,26,74,6,16,100,94,Snack Place,Department Store,Pizza Place,Ice Cream Shop,Indian Restaurant,Zoo,Factory,Donut Shop,Dumpling Restaurant,Electronics Store
119,Mahape,19.1175098,73.0264199,29865.52,0,3,0,0,9,3,Smoke Shop,Indian Restaurant,Theater,Sandwich Place,Bus Station,Dim Sum Restaurant,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
120,Sector 21 Ghansoli,19.1193307,72.9995096,22612.96,11,31,1,5,100,24,Flea Market,Fast Food Restaurant,Department Store,Vegetarian / Vegan Restaurant,Train Station,Juice Bar,Zoo,Electronics Store,Diner,Donut Shop
121,Mira Bhayandar,19.2820571,72.8741437,25000.0,23,33,4,9,100,40,Pizza Place,Fast Food Restaurant,Dessert Shop,Bakery,Department Store,Asian Restaurant,Electronics Store,Ice Cream Shop,Indian Restaurant,Sandwich Place
122,Oshiwara,19.1502437,72.8342294,57000.0,7,55,7,20,100,69,Café,Indian Restaurant,Gym / Fitness Center,Gym,Chinese Restaurant,Mexican Restaurant,Bar,Ice Cream Shop,Fast Food Restaurant,Bakery
123,Ambivali,19.1331195,72.82513357942526,15000.0,40,23,4,50,100,49,Pub,Indian Restaurant,Café,Coffee Shop,Lounge,Asian Restaurant,Pizza Place,Bar,Vegetarian / Vegan Restaurant,Italian Restaurant
124,Four Bungalows,19.1287942,72.8255543,53100.0,34,50,7,44,100,51,Pub,Café,Indian Restaurant,Lounge,Bar,Chinese Restaurant,Electronics Store,Coffee Shop,Seafood Restaurant,Juice Bar
125,Churchgate,18.9359567,72.8273404,152000.0,17,43,19,38,100,74,Indian Restaurant,Café,Chinese Restaurant,Bar,Bakery,Cricket Ground,Coffee Shop,Fast Food Restaurant,Ice Cream Shop,Dessert Shop
126,Wadala East Wadala,19.0269192,72.8759337,58818.18,0,18,4,15,82,36,Snack Place,Gym Pool,Bookstore,Baseball Field,Coffee Shop,Pizza Place,Thai Restaurant,Asian Restaurant,Multiplex,Electronics Store
127,Marine Lines,18.9456701,72.823781,147500.0,25,59,20,30,100,100,Indian Restaurant,Café,Chinese Restaurant,Cricket Ground,Fast Food Restaurant,Multiplex,Train Station,Bakery,Bar,Restaurant
128,Sector 5 Ghansoli,19.1193307,72.9995096,62560.0,11,31,1,5,100,24,Flea Market,Fast Food Restaurant,Department Store,Vegetarian / Vegan Restaurant,Train Station,Juice Bar,Zoo,Electronics Store,Diner,Donut Shop
129,Koparkhairane Station Road,19.1055916,73.0008759,25207.69,24,41,5,12,100,47,Department Store,Indian Restaurant,Ice Cream Shop,Diner,Bus Station,Seafood Restaurant,Thai Restaurant,Lounge,Food Truck,Bar
130,Pratiksha Nagar Sion,19.0446502,72.8746772,30216.67,9,21,1,16,70,30,Vegetarian / Vegan Restaurant,Café,Soccer Field,Food,Train Station,Hotel,Pizza Place,Breakfast Spot,Electronics Store,Indian Restaurant
131,Pali Hill,19.0649126,72.8270326,79000.0,12,34,2,46,100,46,Café,Indian Restaurant,Dessert Shop,Italian Restaurant,Bakery,Fast Food Restaurant,Seafood Restaurant,Chinese Restaurant,Ice Cream Shop,Asian Restaurant
132,Marine Drive,18.9414868,72.8238464,150000.0,15,43,16,27,100,54,Indian Restaurant,Café,Bar,Bakery,Ice Cream Shop,Train Station,Chinese Restaurant,Cricket Ground,Italian Restaurant,Gastropub
133,Marol,19.1172198,72.882342,53166.67,22,37,5,17,100,39,Indian Restaurant,Hotel,Coffee Shop,Snack Place,Dance Studio,Boat or Ferry,Fast Food Restaurant,Lounge,Restaurant,Diner
134,CBD Belapur East,19.02348485,73.03848953489394,29000.0,9,3,8,35,72,21,Indian Restaurant,Restaurant,Train Station,Tea Room,Café,Pizza Place,Recreation Center,Mountain,Bar,Sports Bar
135,Mahim West,19.0423145,72.8398344,60000.0,14,45,7,17,100,68,Bakery,Fast Food Restaurant,Indian Restaurant,Café,Music Venue,Arcade,Movie Theater,Sporting Goods Shop,Furniture / Home Store,Juice Bar
136,Sector 36 Kharghar,19.03773415,73.06419187265803,15666.67,25,46,3,16,100,28,Café,Fast Food Restaurant,Indian Restaurant,Multiplex,Juice Bar,Pizza Place,Fried Chicken Joint,Restaurant,Department Store,Chinese Restaurant
137,Sector 21 Ulwe,18.9804364,73.0387309,12000.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
138,Yari Road,19.1394017,72.8079157,49692.31,2,7,2,20,49,34,Café,Beach,Boat or Ferry,Coffee Shop,Diner,Arts & Crafts Store,Sandwich Place,Miscellaneous Shop,Bistro,Restaurant
139,Sector 5 Ulwe,18.9804364,73.0387309,32250.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
140,Sector 19 Ulwe,18.9804364,73.0387309,11750.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
